signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
flow1D > 0,Simple positive flow,1D,337,0.5637982195845698,0.00885769526556554,0.004347138192829059,0.21702890391221685,-0.30513899960432866,0.03975404972721142,-0.0310763683243169,1.6534359750619703,190,147,0,Usable,337,753
flow1D > 0,Simple positive flow,3D,330,0.5909090909090909,0.025633861647443912,0.012513346627239463,0.5013440847293478,-0.3145840032066832,0.07953755787402682,-0.052227032902064735,2.199772363313302,195,135,7,Usable,337,753
flow1D > 0,Simple positive flow,5D,322,0.593167701863354,0.04095130515430557,0.011896985743985122,0.6236558912365213,-0.23705593371992417,0.10711018871657835,-0.055509357138779164,2.813368744811636,191,131,15,Usable,337,753
flow1D > 0,Simple positive flow,10D,302,0.6158940397350994,0.08795677083506044,0.027311678525513527,1.100196942438358,-0.286395485708556,0.18117926400011378,-0.0615206751020078,4.72217799953011,186,116,35,Usable,337,753
flow1D > 0,Simple positive flow,20D,246,0.6585365853658537,0.20456407991259448,0.10275311169423662,1.6971935115585235,-0.3064684390515552,0.350449631653539,-0.07678662701637003,8.80188612290926,162,84,91,Usable,337,753
flow3D > 0,Simple positive flow,1D,331,0.5468277945619335,0.006996748716375758,0.0034225181609717215,0.21702890391221685,-0.30513899960432866,0.03998938328887731,-0.03281436366777611,1.4705101803522354,181,150,0,Usable,331,753
flow3D > 0,Simple positive flow,3D,325,0.5476923076923077,0.020218497958146266,0.009000139472908009,0.5013440847293478,-0.3145840032066832,0.07905958859842119,-0.05103125805524785,1.8759486341376437,178,147,6,Usable,331,753
flow3D > 0,Simple positive flow,5D,315,0.5777777777777777,0.03532039065667197,0.007186164963481678,0.6236558912365213,-0.24435931492000773,0.10548595508619171,-0.06069564487846033,2.378246445621349,182,133,16,Usable,331,753
flow3D > 0,Simple positive flow,10D,291,0.6151202749140894,0.09098542317579691,0.022585239771331755,1.100196942438358,-0.2434345321126965,0.1873091451968209,-0.06296052541137531,4.754727660585946,179,112,40,Usable,331,753
flow3D > 0,Simple positive flow,20D,226,0.6548672566371682,0.22076393084856424,0.1056090199408396,1.6971935115585235,-0.35277246624865055,0.3836803914626575,-0.0883596098038178,8.239159832415291,148,78,105,Usable,331,753
flow5D > 0,Simple positive flow,1D,307,0.5537459283387622,0.007194392227858415,0.0034225181609717215,0.1936339683584518,-0.30513899960432866,0.040303825634886825,-0.03389030616042501,1.475703588262495,170,137,0,Usable,307,753
flow5D > 0,Simple positive flow,3D,299,0.5652173913043478,0.023266107567790673,0.009196049940435103,0.3508399720646782,-0.3145840032066832,0.0821503916830911,-0.05328346178209988,2.004289991982005,169,130,8,Usable,307,753
flow5D > 0,Simple positive flow,5D,291,0.5601374570446735,0.03779099655094535,0.006939214816249928,0.5085764581705792,-0.24435931492000773,0.11512949009425921,-0.060694741320618396,2.415533979582244,163,128,16,Usable,307,753
flow5D > 0,Simple positive flow,10D,265,0.6415094339622641,0.10619015298598605,0.035720815241764514,1.100196942438358,-0.286395485708556,0.20021235124005285,-0.06206009652129135,5.773028949045764,170,95,42,Usable,307,753
flow5D > 0,Simple positive flow,20D,199,0.6884422110552764,0.24674125321047524,0.11000744690238395,1.6971935115585235,-0.35277246624865055,0.40447002889166933,-0.10178846079474393,8.780448025930573,137,62,108,Usable,307,753
flow10D > 0,Simple positive flow,1D,301,0.5448504983388704,0.007945103742324915,0.00383963141857957,0.1936339683584518,-0.30513899960432866,0.04218081064708182,-0.03303778627504831,1.5283656327515247,164,137,0,Usable,301,753
flow10D > 0,Simple positive flow,3D,293,0.5870307167235495,0.029644861583086126,0.010389920731520563,0.3508399720646782,-0.3145840032066832,0.08575450220202678,-0.05011429698268076,2.4324188733998877,172,121,8,Usable,301,753
flow10D > 0,Simple positive flow,5D,282,0.6382978723404256,0.057474071975573256,0.02210299122507886,0.5085764581705792,-0.23705593371992417,0.11926843055762452,-0.05157479611039955,4.080941018816812,180,102,19,Usable,301,753
flow10D > 0,Simple positive flow,10D,252,0.7103174603174603,0.12966179587695215,0.07261252724444622,1.100196942438358,-0.2434345321126965,0.20520836348958663,-0.05558252744717899,9.052883607146846,179,73,49,Usable,301,753
flow10D > 0,Simple positive flow,20D,179,0.770949720670391,0.29790511497955274,0.12560224508980955,1.6971935115585235,-0.35277246624865055,0.41373357503118735,-0.09195653104790033,15.14374945758613,138,41,122,Usable,301,753
flow20D > 0,Simple positive flow,1D,248,0.5645161290322581,0.009792805865729412,0.007024765060880678,0.20945195833403107,-0.30513899960432866,0.046650123870559924,-0.03798519895534719,1.591998579927342,140,108,0,Usable,248,753
flow20D > 0,Simple positive flow,3D,234,0.5811965811965812,0.036580359105331174,0.01622230506190392,0.5022576806058359,-0.3145840032066832,0.10415633552638182,-0.057198546948371766,2.5270482162261665,136,98,14,Usable,248,753
flow20D > 0,Simple positive flow,5D,220,0.6,0.06335395043290737,0.017085181126083482,0.6236558912365213,-0.23705593371992417,0.14796673770734142,-0.06356523047874373,3.4916904239847364,132,88,28,Usable,248,753
flow20D > 0,Simple positive flow,10D,186,0.6451612903225806,0.12901594488870952,0.03538774568614156,1.100196942438358,-0.2434345321126965,0.23593549384224435,-0.06538323502680833,6.560911600532306,120,66,62,Usable,248,753
flow20D > 0,Simple positive flow,20D,116,0.7672413793103449,0.39295392975407034,0.16749900200857137,1.6971935115585235,-0.35277246624865055,0.543164014239643,-0.10218301540207643,17.521791868976116,89,27,132,Usable,248,753
flow1D percentile >= 70,Strong inflow percentile,1D,230,0.5521739130434783,0.009445337612626137,0.003810188111601387,0.21702890391221685,-0.30513899960432866,0.0414722332499539,-0.03004413564893334,1.7020182187218253,127,103,0,Usable,230,753
flow1D percentile >= 70,Strong inflow percentile,3D,224,0.5803571428571429,0.02184756188152266,0.010322309107832162,0.3862964720472599,-0.3145840032066832,0.07450225807252066,-0.050972762637942655,2.0213744052234808,130,94,6,Usable,230,753
flow1D percentile >= 70,Strong inflow percentile,5D,217,0.5990783410138248,0.03531100537506867,0.011506347286566188,0.5085764581705792,-0.23650402575884366,0.09607809165130024,-0.055490387911254366,2.5872041977076954,130,87,13,Usable,230,753
flow1D percentile >= 70,Strong inflow percentile,10D,199,0.6231155778894473,0.07821066521716699,0.022307401108769165,0.8469945991983534,-0.2194544993573515,0.15758724175253092,-0.053025274654634656,4.91358585871549,124,75,31,Usable,230,753
flow1D percentile >= 70,Strong inflow percentile,20D,153,0.6274509803921569,0.16870281086404526,0.08680797276258678,1.5492485518484824,-0.3064684390515552,0.3118355592012321,-0.07236287054595374,7.257820582901859,96,57,77,Usable,230,753
flow1D percentile >= 80,Strong inflow percentile,1D,156,0.5833333333333334,0.014313012903458327,0.006967093196381113,0.21702890391221685,-0.09605011902757943,0.044721913885123615,-0.028259448470873062,2.2155662203990185,91,65,0,Usable,156,753
flow1D percentile >= 80,Strong inflow percentile,3D,152,0.6118421052631579,0.0265045383958868,0.017192015092530433,0.3862964720472599,-0.3145840032066832,0.07781275214834268,-0.054371120569848747,2.2558666781846637,93,59,4,Usable,156,753
flow1D percentile >= 80,Strong inflow percentile,5D,146,0.6506849315068494,0.04332330643701196,0.019745107353581703,0.5085764581705792,-0.23650402575884366,0.09761660325306962,-0.0578112660634876,3.145318578513843,95,51,10,Usable,156,753
flow1D percentile >= 80,Strong inflow percentile,10D,133,0.6541353383458647,0.09631247998623765,0.04045654877815763,0.8469945991983534,-0.1620983142679594,0.1735743395032765,-0.04981321083946627,6.590257834042195,87,46,23,Usable,156,753
flow1D percentile >= 80,Strong inflow percentile,20D,100,0.67,0.2040675656497534,0.11004256098475651,1.5492485518484824,-0.19148936055849275,0.33149830170986305,-0.0546554439268329,12.31427206780797,67,33,56,Usable,156,753
flow1D percentile >= 90,Strong inflow percentile,1D,82,0.6219512195121951,0.016703750746413056,0.011183259577691174,0.18487613444005468,-0.09605011902757943,0.04622314407365002,-0.03186041246936389,2.3868029775224966,51,31,0,Usable,82,753
flow1D percentile >= 90,Strong inflow percentile,3D,79,0.620253164556962,0.02408499487875454,0.020152374330577816,0.3036373976011457,-0.3145840032066832,0.0759339528014833,-0.06060163639503576,2.0465694265078027,49,30,3,Watch,82,753
flow1D percentile >= 90,Strong inflow percentile,5D,74,0.6216216216216216,0.04032454333409565,0.016091753083436133,0.4351174968955511,-0.23650402575884366,0.09786403755849034,-0.05420462574883848,2.966105399874489,46,28,8,Watch,82,753
flow1D percentile >= 90,Strong inflow percentile,10D,65,0.6461538461538462,0.10527726084344385,0.04421259531222188,0.8469945991983534,-0.12032011402880749,0.18918180577997137,-0.04793973425804116,7.206181537981483,42,23,17,Watch,82,753
